전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,충청북도,6700,9457,10853,12617,11786,21073,18029,17478,18420,20047,24548,23049,21256,24986,22416,23391,22329,21882,20853,19753,21586,21021,20038,18695,17270,18710,18231,17998,16948,17334,14934,14518,13838,13478,14014,13689,15221,15563,15294,15295,15461,15318,14555,13783,14244,14379,14087,13302
,충청남도,15954,18943,23406,27139,25509,51205,41447,43993,48091,45388,54480,51369,48834,55344,50318,49520,47888,48678,49038,31707,29993,28211,26600,25958,22293,26501,27159,27395,25928,26726,23083,22056,21155,24942,30246,26012,25986,28898,27458,24889,24522,24723,22269,21486,21473,22299,21741,21020
,전라북도,10814,13192,16583,18642,16647,34411,29835,28444,29676,31570,39396,39745,37169,39175,33460,34147,33661,34039,36159,30538,32144,26421,26220,24661,21939,23837,23078,22032,24307,25007,22390,29470,17619,28584,18171,17201,18244,19891,18390,18332,17569,17755,16120,14909,14566,14835,13835,13179
,전라남도,10513,16755,20157,22160,21314,46610,46251,43430,44624,47934,56251,57645,55408,57737,52779,52629,41082,42667,40695,36188,35589,29925,27258,25554,21737,24100,23790,22773,26176,29161,22969,22457,18179,20432,16529,17049,17329,17717,16601,17468,16429,15974,14765,14187,14591,14598,13065,12426
,경상북도,11868,16459,22073,27531,26902,46177,40376,41155,42940,43565,48839,30928,27440,29601,26842,26297,26221,27844,26235,22374,21490,19054,19342,17604,16067,17064,16899,15271,16103,16604,14576,14303,13762,13938,13414,14550,15285,15448,15425,16569,16042,15818,15191,14420,14456,15113,14236,12464
,경상남도,8409,10001,11263,15193,16771,23150,22400,27393,28697,30183,29205,28795,28250,30485,27988,25792,26002,26970,26801,24189,24216,21999,21546,19398,17887,19306,19061,12855,13340,13690,11741,12100,12290,13827,12973,14076,14510,16015,15438,15303,15689,16039,14474,14447,14799,15220,13717,12692
,제주특별자치도,1039,1325,1617,2456,2261,3440,3623,3551,3937,4261,4828,5229,5276,6373,5671,5445,5123,5330,5627,5894,6364,6319,5829,5014,4536,5256,5413,5500,6207,6171,5198,5186,5567,5458,5695,5648,5828,5518,5473,5332,5714,6133,6954,7828,9031,10434,10465,10404
부산광역시,전국,376059,328367,319360,414661,554013,694445,629165,696120,782978,734053,853118,826900,918812,912993,850489,807752,799693,887181,869281,797649,797544,777296,823847,767283,725663,730946,727099,686323,643339,693417,639669,645838,650378,667618,572337,589746,594601,565419,549106,549094,547800,532906,481652,496161,500802,520591,480407,467471
,서울특별시,24263,30144,18260,24251,30284,59914,43416,42685,48142,39673,44197,49939,50295,54700,47422,41464,35910,35328,37368,36986,34978,29020,29619,29378,26852,25525,24721,24872,23220,27100,28564,28366,28049,26569,24266,24941,26831,26951,25249,24459,23116,23016,21437,19621,20616,19441,19236,19460
,부산광역시,307900,248102,245789,316491,447094,490794,462171,511015,577302,534200,623421,593332,685927,663934,627069,595863,601161,672784,661275,595930,577707,571157,613596,562445,536710,545987,545172,510780,471201,514844,466071,474981,464122,481232,407434,422008,428583,397716,387878,391404,393530,376930,340468,358352,353282,376345,340521,321606
,대구광역시,-,-,-,-,-,-,-,-,-,-,-,10374,10397,12048,10288,9576,9815,10341,9490,9801,9085,8466,8398,8015,7950,7583,7256,7014,6549,6773,6363,6162,5818,6096,5510,5357,5307,5137,4922,4785,5066,4981,5225,5027,5300,4553,4616,4506
,인천광역시,-,-,-,-,-,-,-,-,-,-,-,4186,3851,4629,4311,4362,4045,4443,4438,4711,5339,4858,4871,4984,4509,4158,3836,3813,3573,4028,3882,3953,4338,3749,3562,3605,3504,3834,3544,3236,3230,3741,3180,2986,3143,3185,3092,2994
,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,2069,2207,2255,2734,2815,2710,2416,2523,2313,1981,1844,1715,1794,1942,1640,1564,1492,1429,1354,1200,1203,1351,1300,1244,1338,1329,1430,1047,1856,1195,1100,1073
,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,2692,3308,3262,3598,3536,3316,3068,3074,2937,3356,3107,3012,2865,2869,2776,2513,2391,2590,3121,2513,2305,2266,2511,2436,2125,2150,2209,2211,2159
,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,16111,13111,13688,13580,13958,13864,14501,14174,12982,12609,12318,12633,10980,11106,11866,11465,11600,12305,11810,10015,9423
,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,261,480,929,855,862
,경기도,6350,6543,4788,7364,6589,15314,10705,11070,12268,12261,14026,10618,11943,15103,13736,14248,15045,16365,15939,16318,17246,16648,15955,17273,16396,17014,16897,17298,16630,20332,20758,20771,21729,21256,20339,21037,21814,21659,19062,18810,19961,20127,17454,15931,16623,16441,16401,15837
,강원도,2090,2291,2062,2356,2291,5100,4485,4877,5563,5145,7019,6654,6469,5985,5148,5604,4631,4498,3969,4156,4178,3732,3664,3626,3155,3135,3223,3258,3447,3255,2812,2882,2639,2902,2855,2430,2364,2496,2452,2378,2569,2548,2130,2158,2085,2305,2104,2221
,충청북도,1031,1285,1221,1351,1253,2826,2348,2835,2684,3119,4156,3717,3654,4070,3559,3468,3039,3012,2736,2950,3041,3212,2948,2938,2326,2444,2386,2496,2533,2398,2191,2024,2126,2175,2113,1955,1844,2117,1831,1920,1986,1997,1779,1736,1968,2023,1877,2050
,충청남도,1901,1994,1801,2255,2212,6467,4149,4584,5656,4526,5827,5644,5361,6103,5891,6087,5241,5584,5413,2841,2909,2826,2480,2582,2508,2982,3850,3757,3450,3508,3110,2997,3337,3748,4774,3752,3635,3741,3744,3738,3893,3758,3334,2909,3664,3164,3160,3242
,전라북도,1105,1481,1733,1861,1764,4423,3756,4549,5271,5394,7762,7822,6110,6449,4627,4773,4338,4457,4403,3657,3924,3588,3157,2968,2589,2531,2562,2442,2502,2822,2275,2783,1876,2996,1865,1730,1627,2006,1666,1613,1695,1993,1790,1519,1600,1680,1604,1566
,전라남도,2613,3034,3446,3996,4139,11486,11509,12931,15505,15853,19130,18688,16872,17573,16590,16248,12821,12980,11226,11212,11530,9872,8754,8156,6559,6469,6192,6059,7106,7334,5600,5465,4406,4920,3917,3683,3710,3818,3640,3887,3545,3743,3379,3367,3277,3586,3380,3269
,경상북도,7791,10233,12697,16373,16203,30395,27465,28592,30724,31843,36580,23777,22648,23370,20371,20415,19430,20209,18623,17505,17077,15997,15601,15191,13516,13355,13235,12942,13184,13274,11629,11231,10807,10430,10084,11764,12482,11489,10582,10956,10837,10860,10327,9776,10464,10768,9400,9096
,경상남도,20249,22405,26556,37134,41052,65865,57329,71107,77865,79912,88337,89320,92495,95378,88279,82913,79491,91892,89274,83037,100794,98775,105648,100739,94491,92245,90375,68287,68758,66261,65707,63222,80103,80251,65043,68659,64412,65573,66150,65453,61882,61631,53445,55750,59858,58222,57887,65114
